char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_0,近未来,センス,男,41,850000,93,100,30,0,7,9,15,56,10,老衰,0,0,0
sim_1,昭和,センス,女,76,1330000,0,100,33,0,8,13,13,82,8,病死,0,0,0
sim_2,令和,運,男,78,2750000,0,100,33,50,10,5,11,6,26,病死,0,0,0
sim_3,近未来,センス,女,79,6170000,0,100,33,0,14,15,13,79,12,病死,0,0,0
sim_4,平成,肉体,女,84,3170000,0,100,33,0,12,90,10,14,13,病死,1,0,0
sim_5,平成,センス,女,75,2000000,0,100,33,0,13,11,7,83,10,病死,0,0,0
sim_6,平成,運,男,79,2520000,0,100,33,50,7,11,10,10,28,病死,0,0,0
sim_7,昭和,頭脳,女,76,1330000,0,99,33,0,79,9,5,10,13,病死,0,0,0
sim_8,近未来,頭脳,女,82,6860000,0,100,33,0,77,10,11,13,7,病死,1,0,0
sim_9,昭和,センス,男,77,1410000,0,100,33,0,6,13,7,79,6,病死,0,0,0
sim_10,平成,センス,男,77,2260000,0,100,33,0,14,7,10,84,11,病死,0,0,0
sim_11,近未来,センス,女,78,5940000,3,100,33,0,10,5,6,76,12,寿命,0,0,0
sim_12,令和,頭脳,男,77,2600000,0,100,33,0,82,11,15,7,14,病死,0,0,0
sim_13,昭和,コミュ,女,73,1090000,10,100,33,0,12,13,78,14,14,寿命,0,0,0
sim_14,昭和,頭脳,男,79,1570000,0,100,33,0,74,15,8,11,6,病死,0,0,0
sim_15,昭和,コミュ,男,71,930000,21,100,32,0,14,11,76,12,9,寿命,0,0,0
sim_16,近未来,運,女,79,6170000,0,100,33,50,11,9,13,7,27,病死,0,0,0
sim_17,平成,肉体,男,78,2390000,27,100,33,0,6,85,10,6,15,寿命,0,0,0
sim_18,昭和,頭脳,女,77,1410000,0,100,33,0,80,8,6,14,7,病死,0,0,0
