char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_0,近未来,センス,男,41,850000,100,100,30,0,7,10,10,54,11,老衰,0,0,41
sim_1,昭和,センス,女,92,2610000,0,100,34,0,15,12,6,94,7,病死,1,0,92
sim_2,昭和,コミュ,男,91,2530000,0,100,34,0,15,14,96,5,10,病死,1,0,91
sim_3,近未来,肉体,女,104,11920000,5,100,35,0,13,96,15,9,8,寿命,1,0,104
sim_4,平成,肉体,女,108,6290000,0,100,35,0,7,94,8,7,14,病死,1,0,108
sim_5,昭和,センス,女,92,2610000,0,100,34,0,10,14,15,90,8,病死,1,0,92
sim_6,昭和,センス,女,77,1410000,52,100,33,0,10,7,9,75,13,寿命,0,0,77
sim_7,平成,頭脳,男,91,4080000,0,100,34,0,97,10,11,7,9,病死,1,0,91
sim_8,令和,頭脳,女,88,4250000,4,100,34,0,91,14,14,9,5,寿命,1,0,88
sim_9,昭和,頭脳,女,94,2770000,0,100,34,0,92,13,13,12,13,病死,1,0,94
sim_10,平成,センス,男,88,3690000,10,100,34,0,10,14,9,93,6,寿命,1,0,88
sim_11,平成,頭脳,女,94,4470000,0,100,34,0,96,5,10,9,7,病死,1,0,94
sim_12,平成,頭脳,男,91,4080000,14,100,34,0,83,5,6,12,12,寿命,1,0,91
sim_13,昭和,センス,男,84,1970000,26,100,33,0,12,6,5,84,7,寿命,1,0,84
sim_14,近未来,肉体,男,101,11230000,6,100,35,0,15,97,5,14,7,寿命,1,0,101
sim_15,平成,肉体,女,97,4860000,20,100,35,0,13,85,5,10,8,寿命,1,0,97
sim_16,平成,センス,男,79,2520000,32,100,33,0,10,5,5,91,7,寿命,0,0,79
sim_17,平成,コミュ,女,75,2000000,42,100,33,0,12,9,84,9,9,老衰,0,0,75
sim_18,近未来,コミュ,男,94,9620000,0,100,34,0,5,12,93,10,11,病死,1,0,94
sim_19,令和,肉体,女,94,5150000,27,100,34,0,13,84,14,12,9,寿命,1,0,94
sim_20,令和,運,男,89,4400000,0,100,34,50,7,15,11,5,58,病死,1,0,89
sim_21,平成,コミュ,男,84,3170000,23,100,33,0,7,11,91,7,7,寿命,1,0,84
sim_22,令和,コミュ,男,91,4700000,0,100,34,0,12,9,93,9,5,病死,1,0,91
sim_23,平成,頭脳,男,92,4210000,8,100,34,0,81,14,14,13,15,寿命,1,0,92
sim_24,昭和,コミュ,女,92,2610000,0,100,34,0,15,6,89,8,11,病死,1,0,92
sim_25,平成,センス,女,86,3430000,21,100,34,0,15,15,7,92,8,寿命,1,0,86
sim_26,近未来,肉体,女,105,12150000,0,100,35,0,8,100,6,12,8,病死,1,0,105
sim_27,近未来,運,女,91,8930000,0,100,34,50,8,5,8,10,56,病死,1,0,91
sim_28,平成,肉体,女,103,5640000,6,100,35,0,13,98,5,15,5,寿命,1,0,103
sim_29,近未来,センス,男,90,8700000,0,100,34,0,9,9,8,88,6,病死,1,0,90
sim_30,平成,頭脳,男,88,3690000,1,100,34,0,94,10,11,13,14,寿命,1,0,88
sim_31,昭和,コミュ,女,83,1890000,33,100,33,0,7,11,88,10,5,寿命,1,0,83
sim_32,昭和,運,女,93,2690000,0,100,34,50,7,6,14,14,63,病死,1,0,93
sim_33,令和,運,女,92,4850000,2,100,34,50,5,11,11,9,51,寿命,1,0,92
sim_34,近未来,コミュ,男,81,6630000,26,100,33,0,5,13,79,5,13,老衰,1,0,81
sim_35,昭和,肉体,男,87,2210000,44,100,34,0,7,80,14,10,6,寿命,1,0,87
sim_36,平成,頭脳,女,58,50000,86,100,31,0,72,7,7,15,10,老衰,0,0,58
sim_37,昭和,頭脳,女,88,2290000,7,100,34,0,88,7,11,7,7,寿命,1,0,88
sim_38,令和,センス,男,85,3800000,16,100,34,0,6,11,10,97,14,寿命,1,0,85
sim_39,近未来,頭脳,男,92,9160000,0,100,34,0,90,15,6,15,12,病死,1,0,92
sim_40,近未来,センス,女,88,8240000,12,100,34,0,5,15,10,96,15,寿命,1,0,88
sim_41,近未来,コミュ,男,92,9160000,0,100,34,0,11,12,97,8,9,病死,1,0,92
sim_42,昭和,コミュ,男,86,2130000,24,100,34,0,13,15,90,10,11,寿命,1,0,86
sim_43,近未来,肉体,女,93,9390000,26,100,34,0,6,90,9,15,13,寿命,1,0,93
sim_44,平成,運,男,91,4080000,0,100,34,50,7,9,7,12,57,病死,1,0,91
sim_45,令和,コミュ,男,88,4250000,7,100,34,0,5,15,91,15,13,寿命,1,0,88
sim_46,近未来,コミュ,男,90,8700000,14,100,34,0,6,10,99,12,11,寿命,1,0,90
sim_47,令和,肉体,女,97,5600000,24,100,35,0,6,91,11,9,15,寿命,1,0,97
sim_48,近未来,コミュ,男,85,7550000,16,100,34,0,10,8,84,7,7,寿命,1,0,85
sim_49,平成,頭脳,男,88,3690000,7,100,34,0,88,12,7,7,11,寿命,1,0,88
sim_50,昭和,コミュ,女,86,2130000,21,100,34,0,6,15,87,5,10,寿命,1,0,86
sim_51,近未来,運,男,91,8930000,0,100,34,50,7,14,11,9,54,病死,1,0,91
sim_52,令和,センス,女,80,3050000,34,100,33,0,14,10,6,83,9,老衰,1,0,80
sim_53,平成,コミュ,女,92,4210000,0,100,34,0,6,5,100,7,5,病死,1,0,92
sim_54,近未来,運,男,93,9390000,0,100,34,50,12,8,6,14,63,病死,1,0,93
sim_55,近未来,頭脳,女,91,8930000,0,100,34,0,95,12,9,15,6,病死,1,0,91
sim_56,平成,頭脳,男,87,3560000,21,100,34,0,80,7,6,10,10,寿命,1,0,87
sim_57,昭和,センス,女,92,2610000,0,100,34,0,10,6,9,92,13,病死,1,0,92
sim_58,令和,肉体,男,94,5150000,29,100,34,0,6,93,10,7,7,寿命,1,0,94
sim_59,令和,コミュ,男,94,5150000,0,100,34,0,14,5,99,8,5,病死,1,0,94
sim_60,平成,頭脳,女,89,3820000,19,100,34,0,89,8,10,13,8,寿命,1,0,89
sim_61,平成,コミュ,男,91,4080000,0,100,34,0,6,11,96,15,10,病死,1,0,91
sim_62,令和,コミュ,女,91,4700000,0,100,34,0,13,11,97,8,12,病死,1,0,91
sim_63,昭和,肉体,女,78,1490000,61,100,33,0,8,80,9,10,8,寿命,0,0,78
sim_64,近未来,センス,女,96,10080000,7,100,34,0,7,12,12,84,12,寿命,1,0,96
sim_65,昭和,センス,女,75,1250000,53,100,33,0,7,6,11,76,5,老衰,0,0,75
sim_66,令和,肉体,男,97,5600000,16,100,35,0,15,94,9,11,12,寿命,1,0,97
sim_67,令和,頭脳,女,94,5150000,0,100,34,0,85,11,14,13,9,病死,1,0,94
